timestamp,session_id,event_type,sender,message,scam_detected,confidence_score,upi_ids,bank_accounts,ifsc_codes,phishing_urls,phone_numbers,suspicious_phrases,sophistication
2026-02-05T14:51:46.797968,hackathon-test-001,message,scammer,After you pay Rs.1 it acts like activation to your account.,False,0.0,,,,,,,
2026-02-05T14:51:46.799719,hackathon-test-001,message,honeypot,I'm not sure what you mean by activation to my account. Can you please explain?,False,0.0,,,,,,,
2026-02-05T14:53:00.127211,hackathon-test-001,message,scammer,This Rs.1 acts as an reopener to your account,True,0.8,,,,,,"activation to your account,reopener to your account",
2026-02-05T14:53:00.128884,hackathon-test-001,message,honeypot,I'm not sure what you mean by activation to my account. Can you please explain?,True,0.8,,,,,,"activation to your account,reopener to your account",
2026-02-05T14:58:06.245514,hackathon-test-001,message,scammer,This Rs.1 acts as an reopener to your account,False,0.0,,,,,,,
2026-02-05T14:58:06.263673,hackathon-test-001,message,honeypot,What do you mean by 'reopener'?,False,0.0,,,,,,,
2026-02-08T10:24:32.499100,session-001,message,scammer,URGENT: Your account is blocked. Send OTP now.,True,0.8,,,,,,,
2026-02-08T10:24:32.531073,session-001,message,honeypot,I tried but it failed. Which UPI or bank should I use?,True,0.8,,,,,,,
2026-02-08T10:28:18.364316,session-003,message,scammer,Click this link to verify your account: http://evil.example,False,0.5,,,,http://evil.example,,Click this link to verify your account,
2026-02-08T10:28:18.397495,session-003,message,honeypot,"I'm not sure what's going on, but I'd like to verify this link first. Can you tell me more about why I need to click this link?",False,0.5,,,,http://evil.example,,Click this link to verify your account,
2026-02-08T10:31:00.836335,session-004,message,scammer,Send me your UPI so I can refund.,False,0.0,,,,,,,
2026-02-08T10:31:00.868116,session-004,message,honeypot,I'm not sure I understand what you mean by refund. Can you please explain?,False,0.0,,,,,,,
2026-02-08T10:34:11.558747,demo-callback-001,summary,,,True,,,919876543210,,,"+91 9876543210,+919876543210","URGENT,account is blocked",moderate (uses banking/payment identifiers)
2026-02-08T10:34:16.593688,demo-callback-001,message,scammer,URGENT: Your account is blocked. Call +91 9876543210 to verify KYC.,True,0.8,,919876543210,,,"+91 9876543210,+919876543210","URGENT,account is blocked",
2026-02-08T10:34:16.625413,demo-callback-001,message,honeypot,I'm a bit worried about my account being blocked. Can you tell me what KYC verification involves?,True,0.8,,919876543210,,,"+91 9876543210,+919876543210","URGENT,account is blocked",
2026-02-08T10:34:35.191885,demo-callback-001,message,scammer,To proceed pay verification to UPI: testuser@okicici,True,0.8,testuser@okicici,919876543210,,,"+91 9876543210,+919876543210","URGENT,blocked,verify KYC",
2026-02-08T10:34:35.228456,demo-callback-001,message,honeypot,"I see, so you're saying I need to pay for KYC verification. Can I just verify my account details first?",True,0.8,testuser@okicici,919876543210,,,"+91 9876543210,+919876543210","URGENT,blocked,verify KYC",
2026-02-08T10:34:48.750259,demo-callback-001,message,scammer,Share bank details: Account 1234-5678-9012 IFSC HDFC0001234,False,0.0,testuser@okicici,"123456789012,919876543210",,,"+91 9876543210,+919876543210","URGENT,blocked,pay verification",
2026-02-08T10:34:48.783730,demo-callback-001,message,honeypot,I'd like to understand the payment process better. Can you tell me what I can expect after paying via UPI?,False,0.0,testuser@okicici,"123456789012,919876543210",,,"+91 9876543210,+919876543210","URGENT,blocked,pay verification",
2026-02-08T10:35:06.337273,demo-callback-001,message,scammer,Use this link to verify: http://phish.example/verify?id=1,True,0.8,testuser@okicici,"1234-5678-9012,123456789012,919876543210",HDFC0001234,http://phish.example/verify?id=1,"+91 9876543210,+919876543210","URGENT: Your account is blocked.,pay verification to UPI,Share bank details,Use this link to verify",
